Entity,Code,Year,Low-carbon energy
Africa,OWID_AFR,1965,2.0275574
Africa,OWID_AFR,1966,2.164695
Africa,OWID_AFR,1967,2.2395184
Africa,OWID_AFR,1968,2.491046
Africa,OWID_AFR,1969,2.8477798
Africa,OWID_AFR,1970,3.3067462
Africa,OWID_AFR,1971,2.9541934
Africa,OWID_AFR,1972,3.1861603
Africa,OWID_AFR,1973,3.1021366
Africa,OWID_AFR,1974,3.3710659
Africa,OWID_AFR,1975,3.3602982
Africa,OWID_AFR,1976,3.4375422
Africa,OWID_AFR,1977,3.5866058
Africa,OWID_AFR,1978,3.4744713
Africa,OWID_AFR,1979,3.407058
Africa,OWID_AFR,1980,3.071266
Africa,OWID_AFR,1981,2.82808
Africa,OWID_AFR,1982,2.6459055
Africa,OWID_AFR,1983,2.301223
Africa,OWID_AFR,1984,2.7726166
Africa,OWID_AFR,1985,3.1058161
Africa,OWID_AFR,1986,3.7706473
Africa,OWID_AFR,1987,3.1883876
Africa,OWID_AFR,1988,3.69695
Africa,OWID_AFR,1989,3.882395
Africa,OWID_AFR,1990,3.495656
Africa,OWID_AFR,1991,3.7256362
Africa,OWID_AFR,1992,3.5729237
Africa,OWID_AFR,1993,3.286702
Africa,OWID_AFR,1994,3.4739528
Africa,OWID_AFR,1995,3.646151
Africa,OWID_AFR,1996,3.7259946
Africa,OWID_AFR,1997,3.803534
Africa,OWID_AFR,1998,3.9965677
Africa,OWID_AFR,1999,3.9352329
Africa,OWID_AFR,2000,4.090023
Africa,OWID_AFR,2001,3.9287193
Africa,OWID_AFR,2002,4.132503
Africa,OWID_AFR,2003,4.106751
Africa,OWID_AFR,2004,4.07218
Africa,OWID_AFR,2005,3.838211
Africa,OWID_AFR,2006,3.8044434
Africa,OWID_AFR,2007,3.7989452
Africa,OWID_AFR,2008,3.814406
Africa,OWID_AFR,2009,3.955081
Africa,OWID_AFR,2010,4.101379
Africa,OWID_AFR,2011,4.099977
Africa,OWID_AFR,2012,3.907553
Africa,OWID_AFR,2013,4.0750375
Africa,OWID_AFR,2014,4.384484
Africa,OWID_AFR,2015,4.523456
Africa,OWID_AFR,2016,4.6860056
Africa,OWID_AFR,2017,4.828082
Africa,OWID_AFR,2018,4.800042
Africa,OWID_AFR,2019,5.036593
Africa,OWID_AFR,2020,5.4543676
Africa,OWID_AFR,2021,5.290253
Africa,OWID_AFR,2022,5.382488
Africa,OWID_AFR,2023,5.6050673
Africa,OWID_AFR,2024,5.6708207
Africa,OWID_AFR,2025,6.147807
Africa (EI),,1965,2.0275574
Africa (EI),,1966,2.164695
Africa (EI),,1967,2.2395184
Africa (EI),,1968,2.491046
Africa (EI),,1969,2.8477798
Africa (EI),,1970,3.3067462
Africa (EI),,1971,2.9541934
Africa (EI),,1972,3.1861603
Africa (EI),,1973,3.1021366
Africa (EI),,1974,3.3710659
Africa (EI),,1975,3.3602982
Africa (EI),,1976,3.4375422
Africa (EI),,1977,3.5866058
Africa (EI),,1978,3.4744713
Africa (EI),,1979,3.407058
Africa (EI),,1980,3.071266
Africa (EI),,1981,2.82808
Africa (EI),,1982,2.6459055
Africa (EI),,1983,2.301223
Africa (EI),,1984,2.7726166
Africa (EI),,1985,3.1058161
Africa (EI),,1986,3.7706473
Africa (EI),,1987,3.1883876
Africa (EI),,1988,3.69695
Africa (EI),,1989,3.882395
Africa (EI),,1990,3.495656
Africa (EI),,1991,3.7256362
Africa (EI),,1992,3.5729237
Africa (EI),,1993,3.286702
Africa (EI),,1994,3.4739528
Africa (EI),,1995,3.646151
Africa (EI),,1996,3.7259946
Africa (EI),,1997,3.803534
Africa (EI),,1998,3.9965677
Africa (EI),,1999,3.9352329
Africa (EI),,2000,4.090023
Africa (EI),,2001,3.9287193
Africa (EI),,2002,4.132503
Africa (EI),,2003,4.106751
Africa (EI),,2004,4.07218
Africa (EI),,2005,3.838211
Africa (EI),,2006,3.8044434
Africa (EI),,2007,3.7989452
Africa (EI),,2008,3.814406
Africa (EI),,2009,3.955081
Africa (EI),,2010,4.101379
Africa (EI),,2011,4.099977
Africa (EI),,2012,3.907553
Africa (EI),,2013,4.0750375
Africa (EI),,2014,4.384484
Africa (EI),,2015,4.523456
Africa (EI),,2016,4.6860056
Africa (EI),,2017,4.828082
Africa (EI),,2018,4.800042
Africa (EI),,2019,5.036593
